,User ID,Datum,Label
407,SandraVonlanth1,2023-01-12,neutral
408,MR_Zick_Zack,2023-01-12,neutral
409,brigitteonline,2023-01-12,neutral
410,ChattanoggaL,2023-01-12,positive
411,Demokra82420552,2023-01-12,neutral
412,simzwitschert,2023-01-12,negative
413,elifnazsansoy,2023-01-12,negative
414,Sandros098,2023-01-12,neutral
415,News_Boerse,2023-01-12,neutral
416,News_Finanzen_,2023-01-12,neutral
417,_Herbstlicht,2023-01-12,neutral
418,christi85573643,2023-01-12,neutral
419,hasso22972046,2023-01-12,neutral
420,Mike_9Cole,2023-01-12,neutral
421,ninja_toertel,2023-01-12,negative
422,schweizerillu,2023-01-12,neutral
423,saltyanubis,2023-01-12,positive
424,KarlNagel7,2023-01-12,neutral
425,Forsch_1510,2023-01-12,positive
426,AugsburgMarko,2023-01-12,neutral
427,jamsession4444,2023-01-12,negative
428,Elon_Musk_Boy,2023-01-12,negative
429,matze2001,2023-01-12,negative
430,UlrikeOrso,2023-01-12,neutral
431,spotonnews,2023-01-12,neutral
432,Mirabel21993090,2023-01-12,negative
433,LiberalMut,2023-01-12,negative
434,ThommesMarko,2023-01-12,negative
435,inbuildig,2023-01-12,neutral
436,Gipsywoman15,2023-01-12,neutral
437,Mavor19288233,2023-01-12,neutral
438,KayotikGamer,2023-01-12,neutral
439,brandschneise,2023-01-12,negative
440,MichaelKnig4,2023-01-12,neutral
441,atropeia,2023-01-12,neutral
442,UweKaBa,2023-01-12,neutral
443,huhuhase,2023-01-12,negative
444,spieleundbrot,2023-01-12,neutral
445,lieholf1,2023-01-12,neutral
446,LillySanni2222,2023-01-12,positive
447,boersenzeitung,2023-01-12,neutral
448,oschm1812,2023-01-12,negative
449,Laune_Katze_,2023-01-12,neutral
450,Sinead37245365,2023-01-12,neutral
451,3F_Bildideen,2023-01-12,neutral
452,lieholf1,2023-01-12,positive
453,Stormchild3,2023-01-12,negative
454,UndKannste,2023-01-12,neutral
455,lieholf1,2023-01-12,positive
456,tomeydo,2023-01-12,negative
457,soonara_izana,2023-01-12,negative
458,TMisfit1979,2023-01-12,negative
459,gidsPEPE,2023-01-12,neutral
460,AndreasLife61,2023-01-12,positive
461,lieholf1,2023-01-12,negative
462,lieholf1,2023-01-12,negative
463,___jgl___,2023-01-12,neutral
464,Hawke360,2023-01-12,negative
465,SohnHolzheims,2023-01-12,negative
466,UlliG4,2023-01-12,neutral
467,evelyn_nopfs,2023-01-12,neutral
468,Nerviger79,2023-01-12,negative
469,Dassuperbrot,2023-01-12,neutral
470,WeltweitN,2023-01-12,positive
471,renalisi,2023-01-12,neutral
472,D34DR0SE,2023-01-12,neutral
473,NeFee,2023-01-12,negative
474,TheEliteHunter_,2023-01-12,neutral
475,buyingincome,2023-01-12,neutral
476,BenjHellinger,2023-01-12,neutral
477,Vilstal,2023-01-12,positive
478,Ypsmaja,2023-01-12,positive
479,OliverK99709990,2023-01-12,negative
480,Picaflo86622021,2023-01-12,neutral
481,sabine_kohne,2023-01-12,positive
482,ThiMai29971391,2023-01-12,neutral
483,phpandcigars,2023-01-12,negative
484,mhalensee,2023-01-12,negative
485,PutuSambernyawa,2023-01-12,positive
486,ErnstvAll,2023-01-12,neutral
487,HnKraus_A,2023-01-12,positive
488,VicoBeauregard,2023-01-12,neutral
489,MaikQdf,2023-01-12,negative
490,juergeng64,2023-01-12,negative
491,Beno_at_HR,2023-01-12,neutral
492,0231Jana,2023-01-12,neutral
493,focusonline,2023-01-12,neutral
494,LolAsdf1234,2023-01-12,neutral
495,HannesDroid,2023-01-12,negative
496,pcg_de,2023-01-12,negative
497,reboxetin,2023-01-12,negative
498,meckerpapa,2023-01-12,negative
499,Promos01,2023-01-12,positive
500,dolginator1,2023-01-12,neutral
